age,income,gender,region,loan_approved
62,36077.61223144681,M,West,1
18,72360.82875438535,M,North,0
21,52932.49002912991,F,South,0
21,42925.934996782606,F,East,0
57,77185.31977297192,M,North,0
27,15587.937818008737,M,North,1
37,59768.1401876353,M,South,0
39,33042.55325746657,M,East,1
54,38339.80016356823,F,East,1
41,66739.07681184619,F,East,0
24,70091.79524821887,M,North,1
42,23488.495229162763,M,West,1
42,56366.18688242472,F,West,1
30,,M,North,1
19,44237.21478502816,F,West,1
56,59483.021212406835,F,South,0
57,41755.16148680265,M,West,1
41,57816.88609263405,M,North,1
64,51625.24323144769,F,West,0
42,,F,South,1
35,36278.67004851711,M,West,1
55,62873.56678032135,F,West,0
43,51415.01434964288,M,South,0
31,27711.44212028316,M,East,1
26,21491.23608135049,F,South,0
27,32936.31204453293,F,West,1
38,23569.41672441609,M,East,0
34,45670.651712447776,M,East,1
23,65719.73337040054,F,North,1
33,53749.36311228557,M,North,1
18,50703.566922791375,M,South,1
36,34516.354449036386,M,South,0
53,56047.78522332434,F,South,1
42,39739.11121975993,F,West,0
47,68934.83279310586,F,South,0
37,19916.651135548203,M,North,0
37,45019.544053014426,F,South,1
32,45558.49395644684,F,East,0
57,16724.5886515413,M,North,1
50,47247.456814967656,M,East,1
19,55884.62083483812,F,West,0
27,53624.522098324116,F,South,1
50,51559.03868417532,F,North,0
49,37556.43220045007,F,East,1
28,57391.39087123696,M,North,1
41,51351.691864757115,F,East,0
53,35036.48691742936,F,North,0
29,37999.426784078605,M,East,0
46,,M,West,0
52,,F,East,0
18,39509.077680011156,F,East,0
18,63705.58711125355,F,North,0
54,39908.2282334205,F,East,1
23,51999.86746246673,F,East,0
56,56403.440305058466,M,South,1
58,49807.259124098986,M,East,0
35,44716.27541115965,F,South,0
33,62291.99912559355,M,North,0
22,57829.81594408096,F,East,0
59,67958.89797286957,M,West,1
60,44262.706798782936,F,North,0
49,60374.92877554738,F,West,0
19,55308.27517212825,M,South,1
19,65713.78006126721,F,South,0
57,43641.55649598874,F,West,0
59,-2721.521786529025,F,West,1
53,29852.64904543174,F,West,1
56,71382.5918991912,F,North,0
29,53428.730165343564,F,West,0
64,46135.04360919835,M,East,1
36,,M,North,0
45,29296.836874251265,F,South,0
18,46074.918995114764,F,West,0
32,,M,South,1
53,39608.441351373964,M,East,1
30,67067.40298445677,M,West,1
60,,M,South,1
38,38541.294916587474,F,East,0
29,42528.90346088261,F,West,1
22,44556.63329204425,M,East,1
24,53959.40463433688,M,West,1
22,40555.37136366481,M,East,1
21,42916.12393737921,M,South,1
30,27299.58444124863,F,North,1
54,,M,West,1
58,52643.58128474189,M,West,0
32,35894.696866769395,M,North,1
33,63943.91492589793,F,South,0
38,34058.07618829206,F,West,1
53,36703.90598049274,F,North,1
41,78820.20433041762,M,North,0
33,43103.29214456406,F,South,1
31,33664.48347144325,F,North,1
39,64761.75939654145,M,West,0
23,32611.905128407423,F,South,1
59,43451.9436103588,M,East,1
53,65138.66796371835,F,East,0
18,60700.843557793065,F,West,0
49,39079.13421757388,M,North,1
23,62592.746870613715,M,South,0
48,68585.31468509653,F,East,0
18,23227.94169872422,F,South,0
54,38057.21241252878,M,West,0
52,28991.880989756537,F,West,0
47,47234.74135038455,M,South,1
21,29132.10327040143,M,South,1
52,50543.89612540386,M,West,0
60,37783.916579627505,F,West,0
31,60460.592362016716,F,North,0
57,23938.56143501985,F,East,0
39,51737.835468396115,F,North,0
27,55484.771685640444,F,South,0
18,48891.14801528819,M,East,0
28,42597.236431241596,F,North,0
61,96522.95876144976,M,East,1
41,62881.312294878764,M,North,0
20,32678.367088895724,F,South,0
52,64127.51507261681,M,West,1
53,45767.97287594122,F,East,1
48,35365.180014914426,M,South,1
21,51472.800362528746,M,South,1
36,63582.349297842666,M,West,1
64,65281.121553502715,F,West,0
53,48276.51718958301,F,West,0
38,76145.58080103986,F,East,1
35,45171.81213674517,F,West,0
45,62443.566404665886,M,East,0
32,46890.23004240719,F,West,1
59,66769.97911092352,F,North,0
19,65963.74524410273,M,North,1
54,67269.9475191195,M,South,1
28,38413.13439462266,F,North,1
40,,M,West,0
61,60155.40217294773,F,East,1
58,,M,East,1
29,42714.85740797108,F,West,1
20,49224.54144358155,M,East,1
34,58505.84558051303,F,South,0
50,66017.50362907024,M,North,1
18,54073.93611199944,F,West,1
56,59289.526494555204,F,North,0
37,49120.61007251354,F,North,1
64,68848.57100432456,F,West,0
60,54451.20794594276,F,West,1
58,55978.7859024927,F,North,0
31,34202.384300793776,M,West,0
48,40407.85599957999,F,North,1
42,47772.0967923992,M,North,1
20,26381.267797686418,F,North,0
21,42564.67703769752,M,West,1
48,48236.37810524884,F,West,0
52,55596.802411089135,M,South,1
61,44209.56843456758,F,North,0
31,31541.10324979218,M,North,1
58,20625.925857421524,F,North,1
26,42230.55970801208,M,South,1
37,58696.98194032068,M,North,1
49,29694.007413767224,M,South,0
26,39207.10001631427,F,South,0
44,48220.75823843428,M,West,1
20,37878.259171385944,F,South,0
21,,F,West,1
62,41396.84117710899,F,East,1
32,,F,North,0
50,54374.51060201083,M,East,0
22,51092.8547425616,F,North,1
21,49721.68632285738,M,South,1
63,51500.55927215986,F,West,1
29,56421.21426585465,M,South,0
